1,Rusia,5,Arabia Saudita,0
2,Egipto,0,Uruguay,1
3,Marruecos,0,Irán,1
4,Portugal,3,España,3
5,Francia,2,Australia,1
6,Argentina,1,Islandia,1
7,Perú,0,Dinamarca,1
8,Croacia,2,Nigeria,0
9,Costa Rica,0,Serbia,1
10,Alemania,0,México,1
11,Brasil,1,Suiza,1
12,Suecia,1,Corea del Sur,0
13,Bélgica,3,Panamá,0
14,Túnez,1,Inglaterra,2
15,Colombia,1,Japón,2
16,Polonia,1,Senegal,2
17,Rusia,3,Egipto,1
18,Portugal,1,Marruecos,0
19,Uruguay,1,Arabia Saudita,0
20,Irán,0,España,1
21,Francia,1,Perú,0
22,Argentina,0,Croacia,3
23,Brasil,2,Costa Rica,0
24,Nigeria,2,Islandia,0
25,Serbia,1,Suiza,2
26,Bélgica,5,Túnez,2
27,Corea del Sur,1,México,2
28,Alemania,2,Suecia,1
29,Inglaterra,6,Panamá,1
30,Japón,2,Senegal,2
31,Polonia,0,Colombia,3
32,Uruguay,3,Rusia,0
33,Arabia Saudita,2,Egipto,1
34,España,2,Marruecos,2
35,Irán,1,Portugal,1
36,Australia,0,Perú,2
37,Dinamarca,0,Francia,0
38,Nigeria,1,Argentina,2
39,Islandia,1,Croacia,2
40,Costa Rica,2,Suiza,2
41,Serbia,0,Brasil,2
42,Corea del Sur,2,Alemania,0
43,México,0,Sweden,3
44,Suiza,2,Costa Rica,2
45,Inglaterra,0,Bélgica,1
46,Panamá,1,Túnez,2
47,Colombia,1,Senegal,0
48,Japón,0,Polonia,1
49,Francia,4,Argentina,3
50,Uruguay,2,Portugal,1
51,España,1,Rusia,1
52,Croacia,1,Dinamarca,1
53,Brasil,2,México,0
54,Bélgica,3,Japón,2
55,Suiza,0,Sweden,1
56,Colombia,1,Inglaterra,1
57,Uruguay,0,Francia,2
58,Brasil,1,Bélgica,2
59,Sweden,0,Inglaterra,2
60,Rusia,2,Croacia,2
61,Bélgica,0,Francia,1
62,Croacia,2,Inglaterra,1
63,Bélgica,2,Inglaterra,0
64,Francia,4,Croacia,2
