T_i,B_i
36,100
33,100
44,100
40,100
16,100
24,100
9,100
16,100
21,100
7,100
35,100
32,100
38,100
41,100
19,100
45,100
49,100
27,100
33,100
9,100
29,100
32,100
4,100
13,100
4,100
30,100
20,100
14,100
3,100
38,100
44,100
41,100
43,100
20,100
12,100
11,100
35,100
27,100
42,100
35,100
27,100
29,100
14,100
15,100
8,100
41,100
34,100
29,100
3,100
42,100
18,100
2,100
18,100
23,100
31,100
5,100
7,100
23,100
10,100
19,100
12,100
36,100
26,100
14,100
34,100
19,100
43,100
11,100
45,100
35,100
15,100
14,100
8,100
46,100
43,100
37,100
4,100
1,100
17,100
33,100
33,100
11,100
40,100
6,100
30,100
49,100
9,100
15,100
5,100
47,100
